id,id_num,site,lat_dd,lon_dd,depth,sponge_id,weight,sl,tl,batch_n,S_width_cm,Depth_m,Group.size,S_species,S_colour,Reef,AVG.TL_mm,R1_TL,R10_TL,R11_TL,R12_TL,R13_TL,R14_TL,R2_TL,R3_TL,R4_TL,R5_TL,R6_TL,R7_TL,R8_TL,R9_TL,Log_S_width,Sponge_width_cm,Depth,Group_size,TL_mm,Rank,mt_lineage,nc_lineage,Sponge_id,is_male,egg_count,eggs,age
curlew_225,225,curlew,16.79016,-88.07636,12.6,CUR_02,0.014,8.51,10.38,batch1,20.91269227,12.6,2,Ircinia felix,Medium,CUR,15.92,21.46,,,,,,10.38,,,,,,,,3.04035626,20.91269227,12.6,2.0,10.38,2.0,,,CUR_02,na,0.0,0.0,
golden_114,114,golden,16.8095169,-88.08556366,8.2,GOL_46,0.034,13.05,15.67,batch1,12.0393262,8.2,2,Ircinia felix,Medium,GOL,13.605,15.67,,,,,,11.54,,,,,,,,2.488178475,12.0393262,8.2,2.0,15.67,1.0,2.0,,GOL_46,0,0.0,0.0,
golden_2,2,golden,16.8094673,-88.08546448,7.1,GOL_01,0.017,9.18,11.67,batch1,20.84560036,7.1,5,Ircinia felix,Dark,GOL,15.364,17.98,,,,,,16.88,16.54,13.75,11.67,,,,,3.037142912,20.84560036,7.1,5.0,11.67,5.0,,1.0,GOL_01,na,0.0,0.0,
golden_21,21,golden,16.8095493,-88.08570099,8.8,GOL_06,0.019,11.48,13.05,batch1,28.50862823,8.8,2,Ircinia strobilina,Dark,GOL,10.725,13.05,,,,,,8.4,,,,,,,,3.350206786,28.50862823,8.8,2.0,13.05,1.0,,1.0,GOL_06,0,0.0,0.0,
golden_3,3,golden,16.8094673,-88.08546448,7.1,GOL_01,0.047,14.19,16.88,batch1,20.84560036,7.1,5,Ircinia felix,Dark,GOL,15.364,17.98,,,,,,16.88,16.54,13.75,11.67,,,,,3.037142912,20.84560036,7.1,5.0,16.88,2.0,,1.0,GOL_01,1,0.0,0.0,
golden_32,32,golden,16.8095837,-88.08563232,5.4,GOL_11,0.033,11.17,13.43,batch1,37.26887744,5.4,5,Ircinia campana,Medium,GOL,16.982,19.27,,,,,,19.04,18.7,14.47,13.43,,,,,3.618158593,37.26887744,5.4,5.0,13.43,5.0,2.0,2.0,GOL_11,0,0.0,0.0,
golden_42,42,golden,16.8095341,-88.08571625,6.0,GOL_13,0.026,11.2,14.12,batch1,34.24099068,6.0,4,Ircinia campana,Light,GOL,14.7,20.33,,,,,,14.12,12.76,11.59,,,,,,3.533423484,34.24099068,6.0,4.0,14.12,2.0,2.0,2.0,GOL_13,0,0.0,0.0,
golden_44,44,golden,16.8095341,-88.08571625,6.0,GOL_13,0.028,10.52,12.76,batch1,34.24099068,6.0,4,Ircinia campana,Light,GOL,14.7,20.33,,,,,,14.12,12.76,11.59,,,,,,3.533423484,34.24099068,6.0,4.0,12.76,3.0,2.0,2.0,GOL_13,0,0.0,0.0,
golden_52,52,golden,16.8095493,-88.08551788,7.8,GOL_18,0.038,11.97,14.9,batch1,19.46285155,7.8,4,Ircinia felix,Medium,GOL,12.89,14.9,,,,,,13.88,12.24,10.54,,,,,,2.9685076,19.46285155,7.8,4.0,14.9,1.0,2.0,3.0,GOL_18,0,0.0,0.0,
golden_52_d,,golden,16.8095493,-88.08551788,7.8,GOL_18,0.038,11.97,14.9,batch1,19.46285155,7.8,4,Ircinia felix,Medium,GOL,12.89,14.9,,,,,,13.88,12.24,10.54,,,,,,2.9685076,,,,,,,,,,,,
golden_55,55,golden,16.8095169,-88.08544922,8.8,GOL_19,0.105,15.48,19.02,batch1,25.02033906,8.8,2,Ircinia campana,Dark,GOL,16.105,19.02,,,,,,13.19,,,,,,,,3.219689057,25.02033906,8.8,2.0,19.02,1.0,2.0,3.0,GOL_19,0,0.0,0.0,
golden_55_d,,golden,16.8095169,-88.08544922,8.8,GOL_19,0.105,15.48,19.02,batch1,25.02033906,8.8,2,Ircinia campana,Dark,GOL,16.105,19.02,,,,,,13.19,,,,,,,,3.219689057,,,,,,,,,,,,
golden_56,56,golden,16.8095169,-88.08544922,8.8,GOL_19,0.03,10.12,13.19,batch1,25.02033906,8.8,2,Ircinia campana,Dark,GOL,16.105,19.02,,,,,,13.19,,,,,,,,3.219689057,25.02033906,8.8,2.0,13.19,2.0,2.0,2.0,GOL_19,0,0.0,0.0,
golden_59,59,golden,16.8095837,-88.08568573,8.8,GOL_22,0.036,11.2,13.28,batch1,18.68065211,8.8,1,Ircinia strobilina,Dark,GOL,13.28,13.28,,,,,,,,,,,,,,2.927488342,18.68065211,8.8,1.0,13.28,1.0,2.0,2.0,GOL_22,0,0.0,0.0,
golden_60,60,golden,16.8090668,-88.08591461,6.6,GOL_23,0.038,11.68,14.51,batch1,40.52303141,6.6,2,Ircinia campana,Medium,GOL,14.765,15.02,,,,,,14.51,,,,,,,,3.701870489,40.52303141,6.6,2.0,14.51,2.0,2.0,2.0,GOL_23,0,0.0,0.0,
golden_62,62,golden,16.8090992,-88.08605194,6.6,GOL_24,0.047,13.12,16.14,batch1,17.91645312,6.6,1,Ircinia felix,Light,GOL,16.14,16.14,,,,,,,,,,,,,,2.885719459,17.91645312,6.6,1.0,16.14,1.0,2.0,2.0,GOL_24,0,0.0,0.0,
golden_63,63,golden,16.8091164,-88.08601379,6.3,GOL_25,0.056,13.29,17.32,batch1,13.89119206,6.3,2,Ircinia felix,Light,GOL,15.685,17.32,,,,,,14.05,,,,,,,,2.631254975,13.89119206,6.3,2.0,17.32,1.0,2.0,2.0,GOL_25,1,0.0,0.0,
golden_64,64,golden,16.8091164,-88.08601379,6.3,GOL_25,0.031,12.01,14.05,batch2,13.89119206,6.3,2,Ircinia felix,Light,GOL,15.685,17.32,,,,,,14.05,,,,,,,,2.631254975,13.89119206,6.3,2.0,14.05,2.0,2.0,1.0,GOL_25,1,0.0,0.0,
golden_65,65,golden,16.8090496,-88.08623505,5.8,GOL_26,0.048,11.19,13.24,batch1,18.63752232,5.8,2,Ircinia felix,Light,GOL,11.26,13.24,,,,,,9.28,,,,,,,,2.925176878,18.63752232,5.8,2.0,13.24,1.0,2.0,2.0,GOL_26,0,0.0,0.0,
golden_69,69,golden,16.8089676,-88.08633423,4.9,GOL_29,0.026,11.76,13.67,batch1,34.74698824,4.9,1,Ircinia campana,Light,GOL,13.67,13.67,,,,,,,,,,,,,,3.548092899,34.74698824,4.9,1.0,13.67,1.0,2.0,2.0,GOL_29,0,0.0,0.0,
golden_73,73,golden,16.8096008,-88.08561707,8.5,GOL_33,0.065,14.27,17.71,batch1,18.3845142,8.5,2,Ircinia campana,Medium,GOL,14.725,17.71,,,,,,11.74,,,,,,,,2.911508691,18.3845142,8.5,2.0,17.71,1.0,2.0,2.0,GOL_33,1,0.0,0.0,
golden_74,74,golden,16.8096008,-88.08561707,8.5,GOL_33,0.022,9.44,11.74,batch1,18.3845142,8.5,2,Ircinia campana,Medium,GOL,14.725,17.71,,,,,,11.74,,,,,,,,2.911508691,18.3845142,8.5,2.0,11.74,2.0,2.0,2.0,GOL_33,0,0.0,0.0,
golden_80,80,golden,16.8095837,-88.08564758,8.6,GOL_36,0.06,13.64,17.15,batch1,21.74465929,8.6,1,Ircinia campana,Medium,GOL,17.15,17.15,,,,,,,,,,,,,,3.079368177,21.74465929,8.6,1.0,17.15,1.0,2.0,2.0,GOL_36,1,0.0,0.0,
golden_81,81,golden,16.8095341,-88.08571625,8.4,GOL_37,0.023,10.86,13.02,batch1,10.76963518,8.4,2,Ircinia felix,Light,GOL,13.04,13.06,,,,,,13.02,,,,,,,,2.376730617,10.76963518,8.4,2.0,13.02,2.0,2.0,2.0,GOL_37,1,0.0,0.0,
golden_82,82,golden,16.8095341,-88.08571625,8.4,GOL_37,0.023,10.66,13.06,batch1,10.76963518,8.4,2,Ircinia felix,Light,GOL,13.04,13.06,,,,,,13.02,,,,,,,,2.376730617,10.76963518,8.4,2.0,13.06,1.0,2.0,2.0,GOL_37,0,0.0,0.0,
golden_84,84,golden,16.8090324,-88.08630371,4.8,GOL_39,0.024,10.74,13.13,batch1,12.71498486,4.8,1,Ircinia felix,Light,GOL,13.13,13.13,,,,,,,,,,,,,,2.542781208,12.71498486,4.8,1.0,13.13,1.0,2.0,2.0,GOL_39,0,0.0,0.0,
golden_86,86,golden,16.8088665,-88.08631897,5.6,GOL_41,0.023,10.07,12.05,batch1,11.3725451,5.6,1,Ircinia felix,Medium,GOL,12.05,12.05,,,,,,,,,,,,,,2.431202126,11.3725451,5.6,1.0,12.05,1.0,2.0,2.0,GOL_41,0,0.0,0.0,
grunt_101,101,grunt,16.8097496,-88.08621979,6.5,GRU_05,0.018,9.53,10.95,batch1,13.17279911,6.5,1,Ircinia felix,Light,GRU,10.95,10.95,,,,,,,,,,,,,,2.57815403,13.17279911,6.5,1.0,10.95,1.0,,2.0,GRU_05,0,0.0,0.0,
grunt_103,103,grunt,16.8096333,-88.08609772,7.8,GRU_07,0.066,14.71,18.05,batch1,19.33343618,7.8,1,Ircinia felix,Light,GRU,18.05,18.05,,,,,,,,,,,,,,2.961836042,19.33343618,7.8,1.0,18.05,1.0,2.0,2.0,GRU_07,0,0.0,0.0,
grunt_104,104,grunt,16.8096333,-88.08615112,6.6,GRU_08,0.036,11.22,14.13,batch1,25.93039239,6.6,1,Ircinia campana,Medium,GRU,14.13,14.13,,,,,,,,,,,,,,3.255415732,25.93039239,6.6,1.0,14.13,1.0,2.0,2.0,GRU_08,0,0.0,0.0,
grunt_124,124,grunt,16.8097496,-88.08611298,8.5,GRU_11,0.103,17.0,19.58,batch1,15.10909103,8.5,3,Ircinia strobilina,Dark,GRU,13.96666667,19.58,,,,,,11.78,10.54,,,,,,,2.715296618,15.10909103,8.5,3.0,19.58,1.0,2.0,2.0,GRU_11,0,0.0,0.0,
grunt_125,125,grunt,16.8097496,-88.08611298,8.5,GRU_11,0.021,9.81,11.78,batch1,15.10909103,8.5,3,Ircinia strobilina,Dark,GRU,13.96666667,19.58,,,,,,11.78,10.54,,,,,,,2.715296618,15.10909103,8.5,3.0,11.78,2.0,,2.0,GRU_11,0,0.0,0.0,
grunt_127,127,grunt,16.8097839,-88.08625031,7.3,GRU_12,0.045,13.66,16.54,batch1,18.60541905,7.3,4,Ircinia felix,Medium,GRU,13.47,,,,,,,15.14,11.47,10.73,,,,,,2.923452885,18.60541905,7.3,4.0,16.54,1.0,2.0,1.0,GRU_12,1,0.0,0.0,
grunt_128,128,grunt,16.8097839,-88.08625031,7.3,GRU_12,0.044,12.02,15.14,batch1,18.60541905,7.3,4,Ircinia felix,Medium,GRU,13.47,,,,,,,15.14,11.47,10.73,,,,,,2.923452885,18.60541905,7.3,4.0,15.14,2.0,2.0,2.0,GRU_12,0,0.0,0.0,
grunt_133,133,grunt,16.8097992,-88.08631897,7.6,GRU_14,0.047,12.8,16.03,batch1,19.49469793,7.6,4,Ircinia strobilina,Dark,GRU,13.5675,16.03,,,,,,14.14,13.77,10.33,,,,,,2.970142528,19.49469793,7.6,4.0,16.03,1.0,,2.0,GRU_14,1,0.0,0.0,
grunt_137,137,grunt,16.8097992,-88.08633423,7.8,GRU_15,0.074,14.73,18.17,batch1,13.79504939,7.8,3,Ircinia ruetzleri,Light,GRU,15.88333333,18.17,,,,,,16.68,12.8,,,,,,,2.624309788,13.79504939,7.8,3.0,18.17,1.0,,2.0,GRU_15,0,0.0,0.0,
grunt_156,156,grunt,16.8095493,-88.08626556,7.7,GRU_18,0.028,11.98,13.94,batch1,36.87315497,7.7,2,Ircinia campana,Medium,GRU,16.76,19.58,,,,,,13.94,,,,,,,,3.607483779,36.87315497,7.7,2.0,13.94,2.0,2.0,2.0,GRU_18,0,0.0,0.0,
grunt_159,159,grunt,16.8095665,-88.08621979,7.7,GRU_19,0.018,10.91,13.41,batch1,17.87338954,7.7,2,Ircinia campana,Light,GRU,12.325,13.41,,,,,,11.24,,,,,,,,2.883312989,17.87338954,7.7,2.0,13.41,1.0,,1.0,GRU_19,0,0.0,0.0,
grunt_161,161,grunt,16.8097496,-88.08615112,6.0,GRU_21,0.108,15.92,19.98,batch1,43.86917309,6.0,1,Ircinia campana,Light,GRU,19.98,19.98,,,,,,,,,,,,,,3.781211866,43.86917309,6.0,1.0,19.98,1.0,,2.0,GRU_21,0,139.0,1.0,
grunt_180,180,grunt,16.8097172,-88.08611298,7.5,GRU_27,0.023,9.77,11.99,batch1,19.48627795,7.5,2,Ircinia felix,Light,GRU,15.785,19.58,,,,,,11.99,,,,,,,,2.969710523,19.48627795,7.5,2.0,11.99,2.0,2.0,2.0,GRU_27,0,0.0,0.0,
grunt_181,181,grunt,16.8097324,-88.08616638,6.7,GRU_28,0.049,14.53,17.33,batch1,24.53674468,6.7,4,Ircinia felix,Medium,GRU,13.47,,,,,,,15.14,11.47,10.73,,,,,,2.923452885,24.53674468,6.7,4.0,17.33,1.0,,1.0,GRU_28,1,0.0,0.0,
long_206,206,long,16.7653675,-88.07748413,6.4,LON_07,0.052,13.48,16.1,batch1,18.94124401,6.4,2,Ircinia felix,Medium,LON,13.775,16.1,,,,,,11.45,,,,,,,,2.941341767,18.94124401,6.4,2.0,16.1,1.0,,2.0,LON_07,0,80.0,1.0,
long_209,209,long,16.7653503,-88.07736969,7.0,LON_08,0.027,10.13,13.07,batch1,11.2863045,7.0,3,Ircinia felix,Medium,LON,13.02666667,13.44,,,,,,13.07,12.57,,,,,,,2.42359,11.2863045,7.0,3.0,13.07,2.0,2.0,1.0,LON_08,0,0.0,0.0,
long_219,219,long,16.76542,-88.07778,8.9,LON_13,0.081,15.99,18.59,batch1,33.59665271,8.9,5,Ircinia strobilina,Dark,LON,17.894,21.94,,,,,,18.59,16.79,16.63,15.52,,,,,3.51442644,33.59665271,8.9,5.0,18.59,2.0,,1.0,LON_13,0,0.0,0.0,
