Dyad,Individual1,Individual2,PopID1&2,TrioML,Wang,LynchLi,LynchRd,Ritland,QuelletGt,DyadML,ind1_num,ind2_num,lo,hi,canon_pair,Distance_m,IN_ind_id,NEAR_ind_id,IN_sponge_id,NEAR_sponge_id,ind_id_Pair,sponge_id_Pair
431,golden-73,grunt-101,gogr,0,0.0941,0,0.0756,0.075,0.075,0,73,101,73,101,73_101,66.30689345,73,101,GOL_33,GRU_05,73_101,GOL_33_GRU_05
21,curlew-225,golden-84,cugo,0,0.0934,0,0.0552,0.0541,0.0772,0,225,84,84,225,84_225,2341.587878,84,225,GOL_39,CUR_02,84_225,GOL_39_CUR_02
162,golden-52,golden-55,gogo,0,0.0923,0,0.0287,0.0274,0.0238,0,52,55,52,55,52_55,8.147901746,52,55,GOL_18,GOL_19,52_55,GOL_18_GOL_19
387,golden-65,golden-73,gogo,0,0.0898,0,0.1247,0.1324,0.1204,0,65,73,65,73,65_73,89.75717982,65,73,GOL_26,GOL_33,65_73,GOL_26_GOL_33
340,golden-60,grunt-161,gogr,0,0.0836,0,0.0344,0.0333,0.0402,0,60,161,60,161,60_161,79.63940944,60,161,GOL_23,GRU_21,60_161,GOL_23_GRU_21
4,curlew-225,golden-44,cugo,0,0.0661,0,0.0252,0.0246,0.042,0,225,44,44,225,44_225,2364.137778,44,225,GOL_13,CUR_02,44_225,GOL_13_CUR_02
23,curlew-225,grunt-101,cugr,0,0.0643,0,0.0037,0.0036,0.0274,0,225,101,101,225,101_225,2408.699493,101,225,GRU_05,CUR_02,101_225,GRU_05_CUR_02
427,golden-73,golden-81,gogo,0,0.0638,0,0.037,0.0367,0.0383,0,73,81,73,81,73_81,12.89081165,73,81,GOL_33,GOL_37,73_81,GOL_33_GOL_37
24,curlew-225,grunt-103,cugr,0,0.0631,0,0.0355,0.0352,0.059,0,225,103,103,225,103_225,2391.453472,103,225,GRU_07,CUR_02,103_225,GRU_07_CUR_02
580,grunt-128,long-206,grlo,0,0.0604,0,0.0308,0.0305,0.0342,0,128,206,128,206,128_206,5002.295825,128,206,GRU_12,LON_07,128_206,GRU_12_LON_07
486,golden-81,grunt-137,gogr,0,0.0594,0,0.0221,0.0216,0.0227,0,81,137,81,137,81_137,72.09307177,81,137,GOL_37,GRU_15,81_137,GOL_37_GRU_15
473,golden-80,grunt-161,gogr,0,0.0586,0,0.0223,0.0218,0.0205,0,80,161,80,161,80_161,56.71364787,80,161,GOL_36,GRU_21,80_161,GOL_36_GRU_21
184,golden-52,grunt-133,gogr,0,0.0555,0,0.0051,0.005,-0.0101,0,52,133,52,133,52_133,89.73615073,52,133,GOL_18,GRU_14,52_133,GOL_18_GRU_14
358,golden-62,grunt-128,gogr,0,0.0549,0,0.0427,0.043,0.0606,0,62,128,62,128,62_128,78.65040326,62,128,GOL_24,GRU_12,62_128,GOL_24_GRU_12
19,curlew-225,golden-81,cugo,0,0.053,0,-0.0094,-0.009,0.0065,0,225,81,81,225,81_225,2364.137778,81,225,GOL_37,CUR_02,81_225,GOL_37_CUR_02
459,golden-74,long-206,golo,0,0.0523,0,0.023,0.0228,0.0214,0,74,206,74,206,74_206,4970.181169,74,206,GOL_33,LON_07,74_206,GOL_33_LON_07
9,curlew-225,golden-56,cugo,0,0.0511,0,0.0396,0.0399,0.0507,0,225,56,56,225,56_225,2350.542353,56,225,GOL_19,CUR_02,56_225,GOL_19_CUR_02
331,golden-60,grunt-101,gogr,0,0.0502,0,-0.006,-0.0058,-0.0059,0,60,101,60,101,60_101,82.24887311,60,101,GOL_23,GRU_05,60_101,GOL_23_GRU_05
415,golden-69,grunt-104,gogr,0,0.0501,0,0.0585,0.0602,0.0588,0,69,104,69,104,69_104,76.19501003,69,104,GOL_29,GRU_08,69_104,GOL_29_GRU_08
481,golden-81,grunt-104,gogr,0,0.0498,0,0.0226,0.0224,0.0188,0,81,104,81,104,81_104,47.62512954,81,104,GOL_37,GRU_08,81_104,GOL_37_GRU_08
502,golden-82,grunt-161,gogr,0,0.0478,0,0.0165,0.0163,0.0228,0,82,161,82,161,82_161,52.11700113,82,161,GOL_37,GRU_21,82_161,GOL_37_GRU_21
463,golden-80,golden-86,gogo,0,0.0474,0,0.0357,0.0358,0.021,0,80,86,80,86,80_86,106.8453996,80,86,GOL_36,GOL_41,80_86,GOL_36_GOL_41
479,golden-81,grunt-101,gogr,0,0.047,0,-0.0213,-0.0202,-0.0136,0,81,101,81,101,81_101,58.7197824,81,101,GOL_37,GRU_05,81_101,GOL_37_GRU_05
44,golden-114,golden-60,gogo,0,0.0468,0,0.0112,0.011,0.0109,0,114,60,60,114,60_114,62.27972896,60,114,GOL_23,GOL_46,60_114,GOL_23_GOL_46
328,golden-60,golden-82,gogo,0,0.0467,0,0.009,0.0088,0.0041,0,60,82,60,82,60_82,55.85707829,60,82,GOL_23,GOL_37,60_82,GOL_23_GOL_37
65,golden-114,grunt-161,gogr,0,0.0466,0,0.0171,0.0169,0.0268,0,114,161,114,161,114_161,67.6916712,114,161,GOL_46,GRU_21,114_161,GOL_46_GRU_21
154,golden-44,grunt-128,gogr,0,0.0437,0,0.0188,0.0187,0.0285,0,44,128,44,128,44_128,63.26946456,44,128,GOL_13,GRU_12,44_128,GOL_13_GRU_12
469,golden-80,grunt-128,gogr,0,0.0429,0,0.0194,0.0192,0.0146,0,80,128,80,128,80_128,67.9436423,80,128,GOL_36,GRU_12,80_128,GOL_36_GRU_12
