IN_ind_id,IN_sponge_id,NEAR_ind_id,NEAR_sponge_id,ind_id_Pair,sponge_id_Pair,Distance_m
1,GOL_01,2,GOL_01,1_2,GOL_01_GOL_01,0
1,GOL_01,3,GOL_01,1_3,GOL_01_GOL_01,0
1,GOL_01,4,GOL_01,1_4,GOL_01_GOL_01,0
1,GOL_01,5,GOL_01,1_5,GOL_01_GOL_01,0
1,GOL_01,6,GOL_2,1_6,GOL_01_GOL_2,4.48796641
1,GOL_01,7,GOL_2,1_7,GOL_01_GOL_2,4.48796641
1,GOL_01,8,GOL_2,1_8,GOL_01_GOL_2,4.48796641
1,GOL_01,9,GOL_3,1_9,GOL_01_GOL_3,11.09548163
1,GOL_01,10,GOL_3,1_10,GOL_01_GOL_3,11.09548163
1,GOL_01,11,GOL_3,1_11,GOL_01_GOL_3,11.09548163
1,GOL_01,12,GOL_3,1_12,GOL_01_GOL_3,11.09548163
1,GOL_01,13,GOL_3,1_13,GOL_01_GOL_3,11.09548163
1,GOL_01,14,GOL_3,1_14,GOL_01_GOL_3,11.09548163
1,GOL_01,15,GOL_3,1_15,GOL_01_GOL_3,11.09548163
1,GOL_01,16,GOL_3,1_16,GOL_01_GOL_3,11.09548163
1,GOL_01,17,GOL_3,1_17,GOL_01_GOL_3,11.09548163
1,GOL_01,18,GOL_3,1_18,GOL_01_GOL_3,11.09548163
1,GOL_01,19,GOL_4,1_19,GOL_01_GOL_4,0
1,GOL_01,20,GOL_5,1_20,GOL_01_GOL_5,22.04045354
1,GOL_01,21,GOL_6,1_21,GOL_01_GOL_6,26.78757101
1,GOL_01,22,GOL_6,1_22,GOL_01_GOL_6,26.78757101
1,GOL_01,23,GOL_7,1_23,GOL_01_GOL_7,27.82261113
1,GOL_01,24,GOL_8,1_24,GOL_01_GOL_8,18.73565629
1,GOL_01,25,XES_1,1_25,GOL_01_XES_1,1338.72199
1,GOL_01,26,GOL_9,1_26,GOL_01_GOL_9,9.941488979
1,GOL_01,27,GOL_9,1_27,GOL_01_GOL_9,9.941488979
1,GOL_01,28,GOL_10,1_28,GOL_01_GOL_10,21.19057845
1,GOL_01,29,GOL_11,1_29,GOL_01_GOL_11,22.04045354
1,GOL_01,30,GOL_11,1_30,GOL_01_GOL_11,22.04045354
1,GOL_01,31,GOL_11,1_31,GOL_01_GOL_11,22.04045354
1,GOL_01,32,GOL_11,1_32,GOL_01_GOL_11,22.04045354
1,GOL_01,33,GOL_11,1_33,GOL_01_GOL_11,22.04045354
1,GOL_01,34,GOL_12,1_34,GOL_01_GOL_12,11.60280416
1,GOL_01,35,GOL_12,1_35,GOL_01_GOL_12,11.60280416
1,GOL_01,36,GOL_12,1_36,GOL_01_GOL_12,11.60280416
1,GOL_01,37,GOL_12,1_37,GOL_01_GOL_12,11.60280416
1,GOL_01,38,GOL_12,1_38,GOL_01_GOL_12,11.60280416
1,GOL_01,39,GOL_12,1_39,GOL_01_GOL_12,11.60280416
1,GOL_01,40,GOL_12,1_40,GOL_01_GOL_12,11.60280416
1,GOL_01,41,GOL_13,1_41,GOL_01_GOL_13,27.82995607
1,GOL_01,42,GOL_13,1_42,GOL_01_GOL_13,27.82995607
1,GOL_01,43,GOL_13,1_43,GOL_01_GOL_13,27.82995607
1,GOL_01,44,GOL_13,1_44,GOL_01_GOL_13,27.82995607
1,GOL_01,45,XES_2,1_45,GOL_01_XES_2,1368.969471
1,GOL_01,46,GOL_15,1_46,GOL_01_GOL_15,6.999085215
1,GOL_01,47,GOL_16,1_47,GOL_01_GOL_16,14.11892146
1,GOL_01,48,GOL_16,1_48,GOL_01_GOL_16,14.11892146
1,GOL_01,49,GOL_17,1_49,GOL_01_GOL_17,11.60194511
1,GOL_01,50,GOL_17,1_50,GOL_01_GOL_17,11.60194511
1,GOL_01,51,GOL_18,1_51,GOL_01_GOL_18,10.7096735
1,GOL_01,52,GOL_18,1_52,GOL_01_GOL_18,10.7096735
1,GOL_01,53,GOL_18,1_53,GOL_01_GOL_18,10.7096735
1,GOL_01,54,GOL_18,1_54,GOL_01_GOL_18,10.7096735
1,GOL_01,55,GOL_19,1_55,GOL_01_GOL_19,5.723781521
1,GOL_01,56,GOL_19,1_56,GOL_01_GOL_19,5.723781521
1,GOL_01,57,GOL_20,1_57,GOL_01_GOL_20,2.347419744
1,GOL_01,58,GOL_21,1_58,GOL_01_GOL_21,6.777566032
1,GOL_01,59,GOL_22,1_59,GOL_01_GOL_22,26.86612572
1,GOL_01,60,GOL_23,1_60,GOL_01_GOL_23,65.30392253
1,GOL_01,61,GOL_23,1_61,GOL_01_GOL_23,65.30392253
1,GOL_01,62,GOL_24,1_62,GOL_01_GOL_24,74.68604389
1,GOL_01,63,GOL_25,1_63,GOL_01_GOL_25,70.24311324
1,GOL_01,64,GOL_25,1_64,GOL_01_GOL_25,70.24311324
1,GOL_01,65,GOL_26,1_65,GOL_01_GOL_26,94.2294728
1,GOL_01,66,GOL_26,1_66,GOL_01_GOL_26,94.2294728
1,GOL_01,67,GOL_27,1_67,GOL_01_GOL_27,102.1851958
1,GOL_01,68,GOL_28,1_68,GOL_01_GOL_28,103.3043368
1,GOL_01,69,GOL_29,1_69,GOL_01_GOL_29,107.9243966
1,GOL_01,70,GOL_30,1_70,GOL_01_GOL_30,98.41888667
1,GOL_01,71,GOL_31,1_71,GOL_01_GOL_31,106.1572915
1,GOL_01,72,GOL_32,1_72,GOL_01_GOL_32,33.5617429
1,GOL_01,73,GOL_33,1_73,GOL_01_GOL_33,21.96809369
1,GOL_01,74,GOL_33,1_74,GOL_01_GOL_33,21.96809369
1,GOL_01,75,GOL_34,1_75,GOL_01_GOL_34,20.79310979
1,GOL_01,76,GOL_34,1_76,GOL_01_GOL_34,20.79310979
1,GOL_01,77,GOL_34,1_77,GOL_01_GOL_34,20.79310979
1,GOL_01,78,GOL_35,1_78,GOL_01_GOL_35,29.87124026
1,GOL_01,79,GOL_35,1_79,GOL_01_GOL_35,29.87124026
1,GOL_01,80,GOL_36,1_80,GOL_01_GOL_36,23.37948485
1,GOL_01,81,GOL_37,1_81,GOL_01_GOL_37,27.82995607
1,GOL_01,82,GOL_37,1_82,GOL_01_GOL_37,27.82995607
1,GOL_01,83,GOL_38,1_83,GOL_01_GOL_38,16.3953199
1,GOL_01,84,GOL_39,1_84,GOL_01_GOL_39,101.5576837
1,GOL_01,85,GOL_40,1_85,GOL_01_GOL_40,103.3043368
1,GOL_01,86,GOL_41,1_86,GOL_01_GOL_41,112.7424168
1,GOL_01,87,GOL_42,1_87,GOL_01_GOL_42,110.6506658
1,GOL_01,88,GOL_42,1_88,GOL_01_GOL_42,110.6506658
1,GOL_01,89,GOL_43,1_89,GOL_01_GOL_43,116.0627124
1,GOL_01,90,GOL_43,1_90,GOL_01_GOL_43,116.0627124
1,GOL_01,91,GOL_43,1_91,GOL_01_GOL_43,116.0627124
1,GOL_01,92,GOL_44,1_92,GOL_01_GOL_44,121.2326435
1,GOL_01,93,GOL_44,1_93,GOL_01_GOL_44,121.2326435
1,GOL_01,94,GOL_44,1_94,GOL_01_GOL_44,121.2326435
1,GOL_01,95,GRU_01,1_95,GOL_01_GRU_01,81.1375441
1,GOL_01,96,GRU_02,1_96,GOL_01_GRU_02,81.27390848
1,GOL_01,97,GRU_03,1_97,GOL_01_GRU_03,87.1989658
1,GOL_01,98,GRU_04,1_98,GOL_01_GRU_04,87.1989658
1,GOL_01,99,GRU_04,1_99,GOL_01_GRU_04,87.1989658
1,GOL_01,100,GRU_04,1_100,GOL_01_GRU_04,87.1989658
1,GOL_01,101,GRU_05,1_101,GOL_01_GRU_05,86.33934739
1,GOL_01,102,GRU_06,1_102,GOL_01_GRU_06,71.57131026
1,GOL_01,103,GRU_07,1_103,GOL_01_GRU_07,69.93769393
1,GOL_01,104,GRU_08,1_104,GOL_01_GRU_08,75.44354666
1,GOL_01,105,GRU_09,1_105,GOL_01_GRU_09,73.99232855
1,GOL_01,106,GRU_09,1_106,GOL_01_GRU_09,74.29838612
1,GOL_01,107,GRU_09,1_107,GOL_01_GRU_09,74.29838612
1,GOL_01,108,GRU_09,1_108,GOL_01_GRU_09,74.29838612
1,GOL_01,109,GRU_09,1_109,GOL_01_GRU_09,74.29838612
1,GOL_01,110,GRU_09,1_110,GOL_01_GRU_09,74.29838612
1,GOL_01,111,GRU_09,1_111,GOL_01_GRU_09,74.29838612
1,GOL_01,112,GOL_45,1_112,GOL_01_GOL_45,6.054067001
1,GOL_01,113,GOL_46,1_113,GOL_01_GOL_46,11.90922017
1,GOL_01,114,GOL_46,1_114,GOL_01_GOL_46,11.90922017
1,GOL_01,115,GOL_47,1_115,GOL_01_GOL_47,13.49362291
1,GOL_01,116,GOL_48,1_116,GOL_01_GOL_48,13.0086954
1,GOL_01,117,GOL_49,1_117,GOL_01_GOL_49,3.936460142
1,GOL_01,118,GOL_49,1_118,GOL_01_GOL_49,3.936460142
1,GOL_01,119,GOL_49,1_119,GOL_01_GOL_49,3.936460142
1,GOL_01,120,GOL_50,1_120,GOL_01_GOL_50,9.146317983
1,GOL_01,121,GOL_51,1_121,GOL_01_GOL_51,3.768293599
1,GOL_01,122,GOL_51,1_122,GOL_01_GOL_51,3.768293599
1,GOL_01,123,GRU_10,1_123,GOL_01_GRU_10,69.19852756
1,GOL_01,124,GRU_11,1_124,GOL_01_GRU_11,75.83965851
1,GOL_01,125,GRU_11,1_125,GOL_01_GRU_11,75.83965851
1,GOL_01,126,GRU_11,1_126,GOL_01_GRU_11,75.83965851
1,GOL_01,127,GRU_12,1_127,GOL_01_GRU_12,90.77512129
1,GOL_01,128,GRU_12,1_128,GOL_01_GRU_12,90.77512129
1,GOL_01,129,GRU_12,1_129,GOL_01_GRU_12,90.77512129
1,GOL_01,130,GRU_12,1_130,GOL_01_GRU_12,90.77512129
1,GOL_01,131,GRU_13,1_131,GOL_01_GRU_13,92.93229161
1,GOL_01,132,GRU_13,1_132,GOL_01_GRU_13,92.93229161
1,GOL_01,133,GRU_14,1_133,GOL_01_GRU_14,98.18663081
1,GOL_01,134,GRU_14,1_134,GOL_01_GRU_14,98.18663081
1,GOL_01,135,GRU_14,1_135,GOL_01_GRU_14,98.18663081
1,GOL_01,136,GRU_14,1_136,GOL_01_GRU_14,98.18663081
1,GOL_01,137,GRU_15,1_137,GOL_01_GRU_15,99.69668731
1,GOL_01,138,GRU_15,1_138,GOL_01_GRU_15,99.69668731
1,GOL_01,139,GRU_15,1_139,GOL_01_GRU_15,99.69668731
1,GOL_01,140,GRU_16,1_140,GOL_01_GRU_16,94.13813617
1,GOL_01,141,GRU_16,1_141,GOL_01_GRU_16,94.13813617
1,GOL_01,142,GRU_16,1_142,GOL_01_GRU_16,94.13813617
1,GOL_01,143,GRU_16,1_143,GOL_01_GRU_16,94.13813617
1,GOL_01,144,GRU_16,1_144,GOL_01_GRU_16,94.13813617
1,GOL_01,145,GRU_16,1_145,GOL_01_GRU_16,94.13813617
1,GOL_01,146,GRU_16,1_146,GOL_01_GRU_16,94.13813617
1,GOL_01,147,GRU_16,1_147,GOL_01_GRU_16,94.13813617
1,GOL_01,148,GRU_16,1_148,GOL_01_GRU_16,94.13813617
1,GOL_01,149,GRU_16,1_149,GOL_01_GRU_16,94.13813617
1,GOL_01,150,GRU_16,1_150,GOL_01_GRU_16,94.13813617
1,GOL_01,151,GRU_16,1_151,GOL_01_GRU_16,94.13813617
1,GOL_01,152,GRU_16,1_152,GOL_01_GRU_16,94.13813617
1,GOL_01,153,GRU_16,1_153,GOL_01_GRU_16,94.13813617
1,GOL_01,154,GRU_17,1_154,GOL_01_GRU_17,97.07017013
1,GOL_01,155,GRU_17,1_155,GOL_01_GRU_17,97.07017013
1,GOL_01,156,GRU_18,1_156,GOL_01_GRU_18,85.85005269
1,GOL_01,157,GRU_18,1_157,GOL_01_GRU_18,85.85005269
1,GOL_01,158,GRU_19,1_158,GOL_01_GRU_19,81.23663141
1,GOL_01,159,GRU_19,1_159,GOL_01_GRU_19,81.23663141
1,GOL_01,160,GRU_20,1_160,GOL_01_GRU_20,70.7105848
1,GOL_01,161,GRU_21,1_161,GOL_01_GRU_21,79.56103724
1,GOL_01,162,GOL_52,1_162,GOL_01_GOL_52,116.9155951
1,GOL_01,163,GOL_52,1_163,GOL_01_GOL_52,116.9155951
1,GOL_01,164,GOL_53,1_164,GOL_01_GOL_53,115.3940852
1,GOL_01,165,GOL_54,1_165,GOL_01_GOL_54,122.7552932
1,GOL_01,166,GOL_54,1_166,GOL_01_GOL_54,122.7552932
1,GOL_01,167,GOL_55,1_167,GOL_01_GOL_55,93.77774022
1,GOL_01,168,GOL_55,1_168,GOL_01_GOL_55,93.77774022
1,GOL_01,169,GOL_56,1_169,GOL_01_GOL_56,86.54604328
1,GOL_01,170,GOL_57,1_170,GOL_01_GOL_57,85.17550683
1,GOL_01,171,GOL_57,1_171,GOL_01_GOL_57,85.17550683
1,GOL_01,172,GOL_58,1_172,GOL_01_GOL_58,89.4015353
1,GOL_01,173,GRU_22,1_173,GOL_01_GRU_22,93.61134799
1,GOL_01,174,GRU_23,1_174,GOL_01_GRU_23,83.43582026
1,GOL_01,175,GRU_24,1_175,GOL_01_GRU_24,82.15818267
