ind_id,Sponge_width_cm,Depth,Group_size,TL_mm,Rank,mt_lineage,nc_lineage,Sponge_id,S_species,S_colour,Reef,AVG.TL_mm,is_male,egg_count,eggs,age
Risor_223,16.59613523,12.3,1,17,1,NA,NA,CUR_01,Ircinia strobilina,Medium,CUR,17,1,0,0,NA
Risor_224,20.91269227,12.6,2,21.46,1,NA,NA,CUR_02,Ircinia felix,Medium,CUR,15.92,0,0,0,NA
Risor_225,20.91269227,12.6,2,10.38,2,NA,NA,CUR_02,Ircinia felix,Medium,CUR,15.92,na,0,0,NA
Risor_226,14.18593462,12.5,1,17.43,1,NA,NA,CUR_03,Ircinia strobilina,Light,CUR,17.43,0,0,0,NA
Risor_002,20.84560036,7.1,5,11.67,5,NA,1,GOL_01,Ircinia felix,Dark,GOL,15.364,na,0,0,NA
Risor_003,20.84560036,7.1,5,16.88,2,NA,1,GOL_01,Ircinia felix,Dark,GOL,15.364,1,0,0,NA
Risor_001,20.84560036,7.1,5,17.98,1,NA,NA,GOL_01,Ircinia felix,Dark,GOL,15.364,0,0,0,NA
Risor_004,20.84560036,7.1,5,16.54,3,NA,NA,GOL_01,Ircinia felix,Dark,GOL,15.364,0,70,1,NA
Risor_005,20.84560036,7.1,5,13.75,4,NA,NA,GOL_01,Ircinia felix,Dark,GOL,15.364,0,0,0,NA
Risor_006,16.68183349,7.3,3,19.96,1,2,NA,GOL_02,Ircinia campana,Dark,GOL,17.10333333,1,0,0,NA
Risor_007,16.68183349,7.3,3,18.71,2,NA,NA,GOL_02,Ircinia campana,Dark,GOL,17.10333333,0,90,1,NA
Risor_008,16.68183349,7.3,3,12.64,3,2,NA,GOL_02,Ircinia campana,Dark,GOL,17.10333333,0,0,0,NA
Risor_009,24.8755034,8.2,10,18.68,2,2,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,1,0,0,NA
Risor_010,24.8755034,8.2,10,21.39,1,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,1,0,0,NA
Risor_011,24.8755034,8.2,10,16.68,3,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,0,100,1,NA
Risor_012,24.8755034,8.2,10,16.24,4,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,1,0,0,NA
Risor_013,24.8755034,8.2,10,15.35,5,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,1,0,0,NA
Risor_014,24.8755034,8.2,10,15.2,6,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,0,80,1,NA
Risor_015,24.8755034,8.2,10,14.78,7,NA,NA,GOL_03,Ircinia strobilina,Dark,GOL,15.633,0,72,1,NA
