Sponge_ID,Max_width_cm,S_occ,S_unocc,Reef,R_ruber
CUR_01,16.59613523,1,0,Curlew,Present
CUR_02,20.91269227,1,0,Curlew,Present
CUR_03,14.18593462,1,0,Curlew,Present
GOL_01,20.84560036,1,0,Golden,Present
GOL_02,16.68183349,1,0,Golden,Present
GOL_03,24.8755034,1,0,Golden,Present
GOL_04,12.89029012,1,0,Golden,Present
GOL_05,15.63843681,1,0,Golden,Present
GOL_06,28.50862823,1,0,Golden,Present
GOL_07,15.2737683,1,0,Golden,Present
GOL_09,20.74014879,1,0,Golden,Present
GOL_10,21.57833088,1,0,Golden,Present
GOL_11,37.26887744,1,0,Golden,Present
GOL_12,39.19804144,1,0,Golden,Present
GOL_13,34.24099068,1,0,Golden,Present
GOL_15,12.42399681,1,0,Golden,Present
GOL_16,26.03657684,1,0,Golden,Present
GOL_17,15.02015024,1,0,Golden,Present
GOL_18,19.46285155,1,0,Golden,Present
GOL_19,25.02033906,1,0,Golden,Present
GOL_20,25.43088672,1,0,Golden,Present
GOL_21,28.730781,1,0,Golden,Present
GOL_22,18.68065211,1,0,Golden,Present
GOL_23,40.52303141,1,0,Golden,Present
GOL_24,17.91645312,1,0,Golden,Present
GOL_25,13.89119206,1,0,Golden,Present
GOL_26,18.63752232,1,0,Golden,Present
GOL_27,21.99813174,1,0,Golden,Present
GOL_28,29.93007552,1,0,Golden,Present
GOL_29,34.74698824,1,0,Golden,Present
GOL_30,12.70735763,1,0,Golden,Present
GOL_31,15.08723289,1,0,Golden,Present
GOL_32,19.75658745,1,0,Golden,Present
GOL_33,18.3845142,1,0,Golden,Present
GOL_34,14.58820784,1,0,Golden,Present
GOL_35,14.91901747,1,0,Golden,Present
GOL_36,21.74465929,1,0,Golden,Present
GOL_37,10.76963518,1,0,Golden,Present
GOL_38,21.68913883,1,0,Golden,Present
GOL_39,12.71498486,1,0,Golden,Present
GOL_40,20.487863,1,0,Golden,Present
GOL_41,11.3725451,1,0,Golden,Present
GOL_42,13.5868929,1,0,Golden,Present
GOL_43,25.4678079,1,0,Golden,Present
GOL_44,29.4435257,1,0,Golden,Present
GOL_45,24.046868,1,0,Golden,Present
GOL_46,12.0393262,1,0,Golden,Present
GOL_47,19.5739141,1,0,Golden,Present
GOL_48,15.3214941,1,0,Golden,Present
GOL_49,14.9271669,1,0,Golden,Present
GOL_50,20.1412392,1,0,Golden,Present
GOL_51,23.2858983,1,0,Golden,Present
GOL_52,10.7763468,1,0,Golden,Present
GOL_53,12.7288579,1,0,Golden,Present
GOL_54,15.4888384,1,0,Golden,Present
GOL_55,17.0994422,1,0,Golden,Present
GOL_56,11.9075747,1,0,Golden,Present
GOL_57,20.2007438,1,0,Golden,Present
GOL_58,17.8410573,1,0,Golden,Present
GRU_01,17.6263677,1,0,Grunt,Present
GRU_02,12.05166956,1,0,Grunt,Present
GRU_03,22.56539051,1,0,Grunt,Present
GRU_04,16.88744089,1,0,Grunt,Present
GRU_05,13.17279911,1,0,Grunt,Present
GRU_06,36.72737213,1,0,Grunt,Present
GRU_07,19.33343618,1,0,Grunt,Present
GRU_08,25.93039239,1,0,Grunt,Present
GRU_09,33.06757408,1,0,Grunt,Present
GRU_10,19.36891203,1,0,Grunt,Present
GRU_11,15.10909103,1,0,Grunt,Present
GRU_12,18.60541905,1,0,Grunt,Present
GRU_13,19.94427702,1,0,Grunt,Present
GRU_14,19.49469793,1,0,Grunt,Present
GRU_15,13.79504939,1,0,Grunt,Present
GRU_16,35.33143161,1,0,Grunt,Present
GRU_17,16.99920499,1,0,Grunt,Present
GRU_18,36.87315497,1,0,Grunt,Present
GRU_19,17.87338954,1,0,Grunt,Present
GRU_20,15.40296594,1,0,Grunt,Present
GRU_21,43.86917309,1,0,Grunt,Present
GRU_22,28.07672308,1,0,Grunt,Present
GRU_23,16.64011142,1,0,Grunt,Present
GRU_24,10.19250361,1,0,Grunt,Present
GRU_25,23.36585249,1,0,Grunt,Present
GRU_26,11.91206009,1,0,Grunt,Present
GRU_27,19.48627795,1,0,Grunt,Present
GRU_28,24.53674468,1,0,Grunt,Present
GRU_29,14.56537257,1,0,Grunt,Present
GRU_30,31.51513935,1,0,Grunt,Present
GRU_31,17.21610479,1,0,Grunt,Present
GRU_32,21.37963899,1,0,Grunt,Present
LON_01,19.571341,1,0,Long,Present
LON_02,19.02944733,1,0,Long,Present
LON_03,16.96413323,1,0,Long,Present
LON_04,16.64102183,1,0,Long,Present
LON_05,17.11924903,1,0,Long,Present
LON_06,16.18158983,1,0,Long,Present
LON_07,18.94124401,1,0,Long,Present
LON_08,11.2863045,1,0,Long,Present
LON_09,15.74123245,1,0,Long,Present
LON_10,15.15269613,1,0,Long,Present
LON_11,21.89829323,1,0,Long,Present
LON_12,21.61311416,1,0,Long,Present
LON_13,33.59665271,1,0,Long,Present
XES_01,14.65322141,1,0,Xesto,Present
N_CUR_001,20.199,0,1,Curlew,Absent
N_CUR_002,27.299,0,1,Curlew,Absent
N_CUR_003,17.657,0,1,Curlew,Absent
N_CUR_004,16.158,0,1,Curlew,Absent
N_CUR_005,13.511,0,1,Curlew,Absent
N_CUR_006,16.802,0,1,Curlew,Absent
N_CUR_007,16.16,0,1,Curlew,Absent
N_CUR_008,15.301,0,1,Curlew,Absent
N_CUR_009,12.623,0,1,Curlew,Absent
N_CUR_010,18.021,0,1,Curlew,Absent
N_GOL_001,12.948,0,1,Golden,Absent
N_GOL_002,15.873,0,1,Golden,Absent
N_GOL_003,14.644,0,1,Golden,Absent
N_GOL_004,14.324,0,1,Golden,Absent
N_GOL_005,24.138,0,1,Golden,Absent
N_GOL_006,26.941,0,1,Golden,Absent
N_GOL_007,13.223,0,1,Golden,Absent
N_GOL_008,23.213,0,1,Golden,Absent
N_GOL_009,13.574,0,1,Golden,Absent
N_GOL_010,27.474,0,1,Golden,Absent
N_GOL_011,24.878,0,1,Golden,Absent
N_GOL_012,21.051,0,1,Golden,Absent
N_GOL_013,14.888,0,1,Golden,Absent
N_GOL_014,20.343,0,1,Golden,Absent
N_GOL_015,19.012,0,1,Golden,Absent
N_GOL_016,22.251,0,1,Golden,Absent
N_GOL_017,22.659,0,1,Golden,Absent
N_GOL_018,12.169,0,1,Golden,Absent
N_GOL_019,17.74,0,1,Golden,Absent
N_GOL_020,14.585,0,1,Golden,Absent
N_GOL_021,22.195,0,1,Golden,Absent
N_GOL_022,14.15,0,1,Golden,Absent
N_GOL_023,15.641,0,1,Golden,Absent
N_GOL_024,10.188,0,1,Golden,Absent
N_GOL_025,11.824,0,1,Golden,Absent
N_GOL_026,24.696,0,1,Golden,Absent
N_GOL_027,20.209,0,1,Golden,Absent
N_GOL_028,11.158,0,1,Golden,Absent
N_GOL_029,8.942,0,1,Golden,Absent
N_GOL_030,16.032,0,1,Golden,Absent
N_GOL_031,12.075,0,1,Golden,Absent
N_GOL_032,11.653,0,1,Golden,Absent
N_GOL_033,18.595,0,1,Golden,Absent
N_GOL_034,15.052,0,1,Golden,Absent
N_GOL_035,14.246,0,1,Golden,Absent
N_GOL_036,8.633,0,1,Golden,Absent
N_GOL_037,9.862,0,1,Golden,Absent
N_GOL_038,41.08,0,1,Golden,Absent
N_GOL_039,23.211,0,1,Golden,Absent
N_GOL_040,16.436,0,1,Golden,Absent
N_GOL_041,37.41,0,1,Golden,Absent
N_GOL_042,11.952,0,1,Golden,Absent
N_GOL_043,12.271,0,1,Golden,Absent
N_GOL_044,14.123,0,1,Golden,Absent
N_GOL_045,19.238,0,1,Golden,Absent
N_GOL_046,11.966,0,1,Golden,Absent
N_GOL_047,20.277,0,1,Golden,Absent
N_GOL_048,14.474,0,1,Golden,Absent
N_GOL_049,18.097,0,1,Golden,Absent
N_GOL_050,11.644,0,1,Golden,Absent
N_GOL_051,9.457,0,1,Golden,Absent
N_GOL_052,14.327,0,1,Golden,Absent
N_GOL_053,11.316,0,1,Golden,Absent
N_GOL_054,11.251,0,1,Golden,Absent
N_GOL_055,8.094,0,1,Golden,Absent
N_GOL_056,14.306,0,1,Golden,Absent
N_GOL_057,16.338,0,1,Golden,Absent
N_GOL_058,12.075,0,1,Golden,Absent
N_GOL_059,11.507,0,1,Golden,Absent
N_GOL_060,10.416,0,1,Golden,Absent
N_GOL_061,10.949,0,1,Golden,Absent
N_GOL_062,12.711,0,1,Golden,Absent
N_GOL_063,15.946,0,1,Golden,Absent
N_GOL_064,13.87,0,1,Golden,Absent
N_GOL_065,18.883,0,1,Golden,Absent
N_GRU_001,26.391,0,1,Grunt,Absent
N_GRU_002,15.067,0,1,Grunt,Absent
N_GRU_003,23.293,0,1,Grunt,Absent
N_GRU_004,12.696,0,1,Grunt,Absent
N_GRU_005,14.886,0,1,Grunt,Absent
N_GRU_006,9.263,0,1,Grunt,Absent
N_GRU_007,8.548,0,1,Grunt,Absent
N_GRU_008,9.883,0,1,Grunt,Absent
N_GRU_009,12.152,0,1,Grunt,Absent
N_GRU_010,13.689,0,1,Grunt,Absent
N_GRU_011,23.872,0,1,Grunt,Absent
N_GRU_012,36.138,0,1,Grunt,Absent
N_GRU_013,10.521,0,1,Grunt,Absent
N_GRU_014,26.892,0,1,Grunt,Absent
N_GRU_015,14.093,0,1,Grunt,Absent
N_GRU_016,9.238,0,1,Grunt,Absent
N_GRU_017,9.072,0,1,Grunt,Absent
N_GRU_018,12.408,0,1,Grunt,Absent
N_GRU_019,12.059,0,1,Grunt,Absent
